,precision,recall,f1-score,support
BENIGN,0.9998917269864117,0.999118575465214,0.999505001711007,314264.0
ATTACK,0.9956799750467873,0.999467727037901,0.9975702555528645,63877.0
accuracy,0.999177555462116,0.999177555462116,0.999177555462116,0.999177555462116
macro avg,0.9977858510165996,0.9992931512515575,0.9985376286319357,378141.0
weighted avg,0.99918026200735,0.999177555462116,0.999178177112924,378141.0
