model,accuracy,precision,recall,f1,roc_auc,pr_auc,inference_seconds,training_seconds
XGBoost,0.999177555462116,0.9956799750467873,0.999467727037901,0.9975702555528645,0.9999711939303315,0.9998816226874492,0.3535308837890625,50.71580171585083
Decision Tree,0.999013595457779,0.9953201048296518,0.9988571786401992,0.9970855048796305,0.9993984494266865,0.9983354242386434,0.12689852714538574,81.52498030662537
Random Forest,0.9988258348076511,0.9953613319380886,0.9976987021932777,0.9965286464848636,0.9997476394068022,0.9977414472699968,0.8561091423034668,160.33785605430603
Logistic Regression,0.8854765814867999,0.6175660383828454,0.8458287020367269,0.7138949816336777,0.9183430871989058,0.8042114914029774,0.1061086654663086,252.37569427490234
